Schedule;Course;Speaker(s);Room
08:45 – 10:15;3D Geometric morphometrics in practice;Laura Maréchal, Clément Zanolli;Imagerie @B8
10:15 – 10:45;Coffee break;;Réunion @B8
10:45 – 12:15;3D Geometric morphometrics in practice;Laura Maréchal, Clément Zanolli;Imagerie @B8
12:15 – 13:45;Lunch break;;
13:45 – 15:15;3D Geometric morphometrics in practice;Laura Maréchal, Clément Zanolli;Imagerie @B8
15:15 – 15:30;Coffee break;;Réunion @B8
15:30 – 17:00;3D Geometric morphometrics in practice;Laura Maréchal, Clément Zanolli;Imagerie @B8
