Schedule;Course;Speaker(s)
09:00 – 10:30;Advanced morphometrics;Laura Maréchal, Alexandra Schuh, Clément Zanolli
10:30 – 10:45;Coffee break;
10:45 – 12:15;Advanced morphometrics;Laura Maréchal, Alexandra Schuh, Clément Zanolli
12:15 – 13:45;Lunch break;
13:45 – 15:00;Keynote speak;Philipp Gunz
15:00 – 15:15;Coffee break;
15:15 – 16:45;Keynote speak;Philipp Gunz
16:45 – 17:00;Final words;Priscilla Bayle, Christine Couture, Frédéric Santos
