Schedule;Course;Speaker(s)
09:00 – 10:30;General introduction to morphometrics;Laura Maréchal, Alexandra Schuh
10:30 – 10:45;Coffee break;
10:45 – 12:15;General introduction to morphometrics;Laura Maréchal, Alexandra Schuh
12:15 – 13:45;Lunch break;
13:45 – 15:15;Acquisition of landmarks data;Priscilla Bayle, Yann Heuzé, Antoine Souron
15:15 – 15:30;Coffee break;
15:30 – 17:00;Acquisition of landmarks data;Priscilla Bayle, Yann Heuzé, Antoine Souron
