Schedule;Course;Speaker(s);Room
08:45 – 10:15;Workshop: Using morphometrics in a research project;Laura Maréchal, Alexandra Schuh;Amphi @B6
10:15 – 10:45;Coffee break;;TD1 @B7
10:45 – 12:15;Workshop: Using morphometrics in a research project;Laura Maréchal, Alexandra Schuh;Amphi @B6
12:15 – 13:45;Lunch break;;TD1 @B7
13:45 – 15:00;Keynote speak;Philipp Gunz;Amphi @B6
15:00 – 15:15;Coffee break;;TD1 @B7
15:15 – 16:45;Keynote speak;Philipp Gunz;Amphi @B6
16:45 – 17:00;Final words;Priscilla Bayle, Christine Couture, Frédéric Santos;Amphi @B6
