Schedule;Course;Speaker(s);Room
08:45 – 10:15;General introduction to morphometrics;Laura Maréchal, Alexandra Schuh;Amphi @B6
10:15 – 10:45;Coffee break;;Réunion @B8
10:45 – 12:15;General introduction to morphometrics;Laura Maréchal, Alexandra Schuh;Amphi @B6
12:15 – 13:45;Lunch break;;
13:45 – 15:15;Acquisition of landmarks data;Yann Heuzé, Antoine Souron;Imagerie @B8
15:15 – 15:30;Coffee break;;Réunion @B8
15:30 – 17:00;Acquisition of landmarks data;Yann Heuzé, Antoine Souron;Imagerie @B8
