Schedule;Course;Speaker(s)
09:00 – 10:30;3D Geometric morphometrics in practice;Laura Maréchal, Clément Zanolli
10:30 – 10:45;Coffee break;
10:45 – 12:15;3D Geometric morphometrics in practice;Laura Maréchal, Clément Zanolli
12:15 – 13:45;Lunch break;
13:45 – 15:15;3D Geometric morphometrics in practice;Laura Maréchal, Clément Zanolli
15:15 – 15:30;Coffee break;
15:30 – 17:00;3D Geometric morphometrics in practice;Laura Maréchal, Clément Zanolli
